region,lease_num,address,city,state,state_category,zip,lease_exp,remaining_term_years,lease_rsf,annual_rent,rent_prsf
11,LDC80570,1250 MARYLAND AVE SW,WASHINGTON,DC,District of Columbia,20024-2141,3/31/2012,0.08,"60,354","$2,820,888",$46.74
11,LDC01848,1250 MARYLAND AVE SW,WASHINGTON,DC,District of Columbia,20024-2141,3/31/2012,0.08,"56,590","$2,633,519",$46.54
11,LDC02163,1250 MARYLAND AVE SW,WASHINGTON,DC,District of Columbia,20024-2141,11/30/2014,2.75,"55,100","$2,704,503",$49.08
11,LDC01905,1291 TAYLOR ST NW,WASHINGTON,DC,District of Columbia,20542-4960,1/31/2016,3.92,"88,630","$1,691,571",$19.09
11,LDC80535,1301 NEW YORK AVE,WASHINGTON,DC,District of Columbia,20005-4701,3/12/2014,2.03,"115,826","$6,161,427",$53.20
11,LDC80566,1301 NEW YORK AVE,WASHINGTON,DC,District of Columbia,20005-4701,3/12/2014,2.03,"56,510","$2,620,838",$46.38
11,LDC01974,131 M ST NE,WASHINGTON,DC,District of Columbia,20002-3300,10/8/2018,6.61,"160,995","$6,876,388",$42.71
11,LDC02057,131 M ST NE,WASHINGTON,DC,District of Columbia,20002-3300,10/20/2014,2.64,"67,646","$2,823,170",$41.73
11,LDC01858,131 M ST NE,WASHINGTON,DC,District of Columbia,20002-3300,9/7/2016,4.52,"58,846","$2,339,525",$39.76
11,LDC01686,1310 G ST NW,WASHINGTON,DC,District of Columbia,20005-3000,11/14/2013,1.71,"60,309","$2,430,282",$40.30
11,LDC01559,1310 L STREET N W,WASHINGTON,DC,District of Columbia,20005-4113,8/17/2013,1.46,"97,000","$4,154,318",$42.83
11,LDC60337,1331 F STREET NW,WASHINGTON,DC,District of Columbia,20004-1107,3/31/2012,0.08,"51,731","$2,341,229",$45.26
11,LDC02327,"1331 PENN AVENUE,NW",WASHINGTON,DC,District of Columbia,20004-1710,12/31/2021,9.84,"129,000","$6,041,070",$46.83
11,LDC00180,"1331 PENN AVENUE,NW",WASHINGTON,DC,District of Columbia,20004-1710,12/31/2015,3.84,"75,875","$3,704,976",$48.83
11,LDC01852,1400 L STREET NW,WASHINGTON,DC,District of Columbia,20005-3509,8/31/2015,3.50,"82,664","$3,022,243",$36.56
11,LDC01850,1400 L STREET NW,WASHINGTON,DC,District of Columbia,20005-3509,8/31/2015,3.50,"57,896","$2,175,375",$37.57
11,LDC70254,1400 NEW YORK AVE NW,WASHINGTON,DC,District of Columbia,20005-2107,8/31/2014,2.50,"168,158","$8,376,943",$49.82
11,LDC01815,1425 NEW YORK AVE NW,WASHINGTON,DC,District of Columbia,20005-2108,12/20/2014,2.81,"250,073","$10,748,038",$42.98
