size
"7,589"
"14,871"
"2,311"
"32,391"
"11,462"
"93,130"
"61,334"
"36,640"
"32,000"
"17,235"
"12,053"
"61,962"
"56,465"
"5,500"
"34,592"
"10,040"
"32,341"
"23,173"
"28,849"
"23,760"
"12,961"
"9,780"
"5,109"
"10,156"
"11,492"
"18,978"
"32,629"
"2,269"
"24,838"
"26,584"
"10,628"
"7,724"
"7,609"
"4,854"
"65,458"
"53,010"
"1,711"
"38,543"
376
"5,106"
"86,049"
"1,150"
"2,982"
"7,539"
"13,699"
650
"3,897"
575
"2,266"
"8,893"
"2,377"
"3,686"
805
"3,800"
"12,009"
"88,321"
"5,715"
"5,000"
"12,805"
"8,522"
"2,543"
"11,142"
"2,709"
"8,987"
"5,175"
"16,230"
"1,472"
"28,700"
"42,451"
"2,000"
"17,825"
"1,039"
"34,470"
"18,478"
"12,200"
"101,178"
"52,697"
"1,048"
"6,150"
"3,986"
861
"1,020"
"2,387"
434
"7,364"
"15,722"
936
"4,174"
"1,858"
"9,916"
"31,976"
"23,524"
"32,509"
"4,025"
"29,100"
"2,105"
436
280
"10,157"
"5,099"
"11,658"
"36,715"
"7,262"
"5,871"
859
"5,184"
753
"16,517"
"13,001"
"25,822"
"5,363"
"9,860"
733
"12,034"
"3,866"
"1,050"
"8,050"
"22,270"
"19,970"
"20,747"
"15,062"
"34,617"
"11,879"
"18,860"
"11,000"
"14,700"
"23,759"
"182,302"
"26,151"
"16,400"
"14,700"
"12,600"
"49,352"
"23,818"
"23,460"
"23,238"
"11,853"
"10,901"
"8,812"
"19,716"
"8,625"
"66,056"
"14,618"
"92,210"
320
"14,579"
"7,207"
"10,651"
"146,677"
"45,122"
"207,379"
"11,174"
"8,910"
"168,588"
"25,000"
"34,276"
"48,163"
"7,700"
"65,796"
"23,404"
"43,936"
"39,721"
"18,903"
"18,854"
"12,900"
"33,420"
"28,000"
"54,828"
"26,086"
"9,799"
"8,715"
"199,327"
"51,068"
"11,500"
"13,800"
"5,223"
"112,000"
"56,000"
"56,000"
"72,259"
"24,207"
"269,961"
"36,790"
"4,750"
"224,000"
"209,244"
"41,391"
"31,457"
"48,328"
"5,635"
"17,930"
"5,666"
"2,900"
"43,470"
"18,451"
"39,856"
"21,751"
"49,097"
"14,850"
"7,772"
"64,164"
"39,500"
"23,029"
"6,032"
"4,947"
"3,756"
"1,096"
908
"145,912"
"2,018"
935
256
"1,180"
"6,404"
"10,000"
"13,250"
"4,206"
"2,467"
"1,512"
"13,856"
465
"8,082"
"11,700"
"69,522"
"5,318"
"1,300"
"7,781"
"23,539"
417
"10,661"
"5,025"
"7,350"
"8,850"
"4,875"
"23,910"
"7,916"
"8,574"
"7,851"
"4,379"
"1,100"
661
"18,640"
"1,793"
"5,410"
692
"14,000"
"15,567"
"4,209"
"3,158"
"7,804"
"3,748"
"8,188"
"20,566"
"6,025"
"3,800"
850
"15,207"
"5,670"
"8,790"
"2,653"
"4,300"
"26,647"
"10,622"
"6,185"
"1,852"
220
"2,887"
"13,950"
"3,121"
"8,365"
"11,788"
"9,360"
"3,582"
"1,250"
"1,147"
"4,196"
"1,973"
"12,541"
"20,484"
"6,035"
"4,370"
"8,235"
"40,434"
"5,418"
"2,729"
"9,660"
"3,500"
"16,928"
"3,281"
"9,500"
"2,563"
"2,140"
"5,087"
"16,579"
"8,250"
"5,500"
"9,493"
"7,420"
"10,000"
"9,508"
"11,240"
"5,000"
"15,077"
"5,479"
"4,854"
"1,575"
"14,843"
"9,927"
"1,540"
"3,190"
"13,400"
"6,739"
"2,732"
"26,375"
"26,589"
"2,950"
"10,152"
"5,056"
"1,976"
"16,632"
"7,920"
"3,080"
"12,299"
"3,217"
"9,000"
"1,485"
"9,859"
"4,360"
436
"2,500"
"10,120"
"6,440"
"11,826"
"8,414"
"10,812"
"11,744"
"14,017"
"6,350"
"59,196"
"58,965"
"5,890"
"8,528"
"5,743"
"1,613"
"111,541"
"73,901"
"3,930"
"6,915"
"23,160"
"28,184"
"32,745"
"3,612"
"11,348"
"7,636"
"59,231"
"15,770"
"13,819"
"4,951"
"4,420"
"3,716"
"17,535"
"12,409"
"5,996"
"4,438"
"1,963"
"20,683"
"14,875"
"6,291"
"20,794"
"8,661"
"7,100"
"21,464"
"6,703"
356
"9,364"
"2,639"
"2,179"
"10,800"
"7,758"
"2,660"
270
"4,813"
"2,560"
"7,631"
"2,917"
"2,890"
"3,200"
"5,918"
"1,555"
"44,929"
"19,060"
"10,000"
"17,454"
"4,855"
"11,516"
"1,810"
"11,593"
"2,294"
"1,502"
"1,107"
"6,000"
"5,750"
"11,420"
774
"5,500"
"1,277"
"5,670"
"14,256"
"5,489"
"3,672"
"5,200"
"3,861"
"1,325"
"5,400"
"1,990"
"19,334"
"4,880"
"3,800"
"1,480"
"3,689"
"3,501"
"1,424"
"4,500"
"5,724"
"1,928"
"3,220"
"21,453"
"2,726"
"1,323"
"5,786"
"3,720"
"7,130"
"10,488"
"6,744"
"30,015"
"23,555"
"3,000"
"32,480"
"7,392"
"4,223"
"7,445"
"1,480"
"1,400"
"13,537"
"7,173"
"3,000"
"11,792"
"74,533"
"10,832"
"3,502"
"3,477"
"2,650"
"5,433"
"12,074"
"2,100"
"8,699"
"3,335"
"2,128"
"22,491"
"6,362"
"9,270"
"3,518"
"11,172"
"5,300"
"40,498"
"31,371"
"5,184"
"306,560"
"21,622"
"20,050"
"41,510"
"33,283"
"38,502"
"5,322"
"3,949"
"7,786"
"45,243"
"55,927"
"3,105"
"9,001"
"60,415"
"30,262"
"3,240"
"15,629"
"9,520"
"56,819"
"8,052"
"74,216"
"66,458"
"1,812"
"3,105"
"4,172"
"35,699"
"3,546"
"8,050"
989
"17,825"
"1,026"
"7,270"
"12,330"
"1,506"
"6,905"
"500,000"
"2,499"
"7,500"
"5,723"
"1,667"
"19,577"
"3,557"
"4,064"
"229,459"
"84,261"
"5,200"
"6,660"
"193,599"
"27,025"
"16,748"
305
"14,944"
"10,187"
"5,950"
"11,525"
"400,140"
"2,636"
"9,986"
"9,120"
"11,706"
337
"18,128"
"1,500"
"1,049"
"144,386"
"1,762"
"5,175"
"8,788"
"2,018"
"4,014"
"4,933"
"3,500"
"6,971"
"53,181"
"14,006"
"37,655"
"12,333"
"2,617"
"473,271"
"153,508"
"5,452"
"8,732"
"23,850"
"2,384"
"12,535"
690
"2,173"
"11,416"
920
"9,305"
332
225
"11,365"
"1,368"
"1,150"
"6,319"
"6,204"
"9,000"
"149,500"
"16,231"
"14,375"
"824,563"
"75,075"
"160,810"
"23,269"
"36,119"
"33,600"
"155,755"
"48,374"
"70,004"
"53,023"
"28,620"
"19,570"
"2,166"
"77,562"
"33,721"
"4,579"
"7,475"
"1,048,631"
"6,930"
"3,940"
"8,096"
"4,130"
"1,873"
"6,000"
"22,860"
"4,411"
"10,707"
"8,654"
"11,321"
"3,158"
"1,607"
"5,521"
"3,412"
"6,474"
"9,929"
"5,382"
"1,650"
"4,131"
"1,388"
"4,556"
"16,572"
"1,400"
"12,248"
"1,450"
"7,218"
"4,664"
"4,014"
"5,589"
"14,302"
"2,070"
"21,074"
"3,997"
"9,391"
"9,214"
"6,050"
"1,782"
"19,916"
"7,762"
"15,579"
"7,312"
"6,120"
"10,042"
"13,702"
"5,635"
"7,440"
"4,720"
"5,736"
976
574
"2,737"
"23,083"
"2,979"
"24,041"
"26,980"
"10,205"
"13,131"
"1,721"
"1,018"
"4,880"
"2,415"
"1,850"
"1,766"
"14,864"
"2,009"
"2,352"
"2,125"
"4,192"
"13,180"
400
"8,300"
"1,051"
"6,894"
"11,453"
"8,532"
"5,060"
"7,360"
"253,669"
"132,359"
"84,525"
"75,986"
"18,165"
"5,750"
"5,750"
"3,947"
416
"6,677"
"2,600"
"3,617"
"1,991"
"7,128"
"6,490"
"1,638"
"5,088"
"4,048"
"2,765"
"5,060"
"13,950"
"4,816"
"4,393"
"10,189"
"7,021"
"3,357"
"7,722"
"9,827"
"4,808"
"2,312"
"12,676"
"1,918"
"9,110"
"3,159"
"6,921"
"10,191"
"10,072"
"5,429"
"23,375"
"3,390"
"2,215"
"3,907"
"5,305"
"1,865"
"2,077"
"2,952"
"13,517"
"5,943"
"5,361"
"14,146"
"9,718"
"13,854"
"30,000"
"7,494"
"7,000"
268
"6,400"
"11,793"
"8,440"
"4,518"
"3,673"
"18,483"
615
"1,337"
"4,069"
"9,717"
"3,580"
"4,068"
"13,300"
"5,854"
"20,396"
"5,980"
"4,002"
"6,916"
768
"9,473"
"13,834"
"114,252"
"28,377"
"7,187"
"1,633"
"29,773"
836
"11,582"
"7,865"
"4,905"
"8,970"
"71,989"
"5,349"
"3,967"
"6,111"
"14,400"
920
"2,829"
"3,310"
"6,290"
"7,362"
"5,905"
"6,800"
"9,000"
281
"3,730"
342
"26,575"
"7,997"
"5,905"
"4,358"
800
